Start date,Total bicicle usage(seconds),Number of bikes,Proportion members,Usage per bike(seconds)
03-07-2011,9333786.0,4591,0.5035939882378567,2033.0
03-07-2012,6382850.0,6582,0.8403220905499849,970.0
03-07-2013,7837264.0,7725,0.7924919093851133,1015.0
03-07-2014,8315583.0,8598,0.7761107234240521,967.0
03-07-2015,21757102.0,12791,0.49738097099523104,1701.0
03-07-2016,25750412.0,13036,0.4048020865296103,1975.0
03-07-2017,23399250.0,15293,0.5406395082717583,1530.0
03-07-2018,15291895.0,12794,0.7607472252618415,1195.0
03-07-2019,14091260.0,12578,0.8688980760057243,1120.0
03-08-2011,3303212.0,3529,0.8676678945877019,936.0
03-08-2012,7287795.0,7089,0.8128085766680773,1028.0
03-08-2013,11973389.0,8450,0.6076923076923076,1417.0
03-08-2014,13419023.0,9824,0.6004682410423453,1366.0
03-08-2015,13474541.0,12085,0.775424079437319,1115.0
03-08-2016,15510287.0,13591,0.7857405636082702,1141.0
03-08-2017,13397026.0,12796,0.7557830572053766,1047.0
03-08-2018,13329990.0,11332,0.7714436992587363,1176.0
03-08-2019,17233762.0,11917,0.7710833263405219,1446.0
03-09-2011,8045683.0,4426,0.5632625395390872,1818.0
03-09-2012,7788241.0,5957,0.6701359744838006,1307.0
03-09-2013,7686464.0,8810,0.843927355278093,872.0
03-09-2014,9280208.0,10412,0.8639070303495966,891.0
03-09-2015,10131683.0,11131,0.8499685562842512,910.0
03-09-2016,19285176.0,11027,0.5099301713974789,1749.0
03-09-2017,28082635.0,15371,0.42358987704118145,1827.0
03-09-2018,16729626.0,10806,0.6548213955210068,1548.0
03-09-2019,11085799.0,11872,0.9160208894878706,934.0
03-10-2010,1059494.0,505,0.5603960396039604,2098.0
03-10-2011,2676524.0,3529,0.9064890903938793,758.0
03-10-2012,6549823.0,7496,0.9030149413020278,874.0
03-10-2013,9037319.0,10059,0.8759320011929616,898.0
03-10-2014,10061933.0,10903,0.8451802256259745,923.0
03-10-2015,3520187.0,4050,0.8523456790123457,869.0
03-10-2016,13192104.0,12301,0.8012356718965937,1072.0
03-10-2017,12749009.0,13484,0.8452239691486206,945.0
03-10-2018,13258823.0,13730,0.8844136926438456,966.0
03-10-2019,11194945.0,12575,0.9207952286282306,890.0
03-11-2010,1325131.0,1490,0.8791946308724832,889.0
03-11-2011,3379378.0,3914,0.9190086867654573,863.0
03-11-2012,4753026.0,5087,0.7977196776095931,934.0
03-11-2013,8839961.0,7652,0.7236016727652901,1155.0
03-11-2014,6651267.0,8563,0.9277122503795399,777.0
03-11-2015,9076349.0,10508,0.9062618956985155,864.0
03-11-2016,10718716.0,11958,0.8610971734403746,896.0
03-11-2017,14758176.0,13777,0.7755679756115265,1071.0
03-11-2018,12447521.0,9284,0.7445066781559673,1341.0
03-11-2019,8323481.0,7645,0.8623937213865271,1089.0
03-12-2010,1198948.0,1586,0.9287515762925599,756.0
03-12-2011,3583044.0,3562,0.8020774845592363,1006.0
03-12-2012,5164169.0,6183,0.9102377486656963,835.0
03-12-2013,5311590.0,7449,0.9440193314538864,713.0
03-12-2014,4498701.0,6853,0.9674595067853495,656.0
03-12-2015,5690425.0,7969,0.9613502321495796,714.0
03-12-2016,6355834.0,6209,0.7708165566113706,1024.0
